,Challenge Name,Difficulty [1-4],Description,Creator,Notes
,,Level One (12),,,
1,Souvenir,Lv1,Exit the Car Park with the Key Card in your Inventory.,NowayArtemus,
2,Unprepared,Lv1,Visit the Painite Toll Booth without having a Painite Gem.,NowayArtemus,
3,Be Prepared,Lv1,Have a full Inventory when you enter the Destroyed Lot.,NowayArtemus,
4,Mindless Wandering,Lv1,Enter 4 rooms that cause you to lose Sanity.,NowayArtemus,
5,Upside down Smile,Lv1,Defeat 2 Smilers before exiting the Car Park.,NowayArtemus,
6,Way Found,Lv1,Cover 2 entities using the Wayfinder.,NowayArtemus,
7,For the Road,Lv1,Have 2 Skits in your Inventory when you exit.,NowayArtemus,
8,Potent Recall,Lv1,Find and use the Memory Fluid to re-arrange the Field of Play.,NowayArtemus,
9,Calling All Creatures,Lv1,Shuffle 2 Unfriendly Entities into your DiH using the Echoing Intercom.,NowayArtemus,
10,Ponder the Orb,Lv1,Use the Navigator's Orb 3 times before exiting.,NowayArtemus,
11,Wyrm Whisperer,Lv1,Tame the Memory Wyrm.,NowayArtemus,
12,Calming Compass,Lv1,Use the Old Bronze Compass and put 1 Entity on the bottom of the Pull Pile.,NowayArtemus,
13,Invaders from Afar,Lv1-4,"Have Enforcers summon X entities before you escape. Each Entity is worth 1 point, maximum 4. Gain 1 extra point if you defeat all summoned entities.",NowayArtemus,
14,Do You Like... My Car?,Lv1-3,Defeat up to three entities that are in the Cursed Toy Car.,Groyer,
15,"""Removing Alert status!""",Lv1,Discard two entities using the Echoing Intercom.,Groyer,
16,"Scurry Away, Little Man",Lv1,"Engage a Death Rat with no hostile entities on the field, causing it to instantly run.",Groyer,
17,"""My dude, what are you doing?""",Lv1,Engage the Wayfinder... and cover an unfriendly Entity with another one. ,Groyer,
,,,,,
,,,,,
,,,,,
,,Level Two (23),,,
1,Vending Visit,Lv2,"Interact with the Vending Room twice, once by using a Key Card and once by paying a Painite Gem",NowayArtemus,
2,Killer Smile,Lv2,Defeat 3 Smilers before exiting the Car Park.,NowayArtemus,
3,Friendly Neighborhood Moth,Lv2,Add two items to your Inventory through Death Moth engagements.,NowayArtemus,
4,Itching for Items,Lv2,Have 3 items in your Inventory when engaging a Hoarder,NowayArtemus,
5,Nearly Hexed,Lv2,Defeat a Hex Doll with 5 or less cards in your Deck in Hand.,NowayArtemus,
6,Death Rat Hijinks,Lv2,Engage a Death Rat when there are at least 3 other entities on the Field of Play.,NowayArtemus,
7,Step on it!,Lv2,Defeat a Jhkix before it escapes after 3 rounds.,NowayArtemus,
8,Treasure Regained,Lv2,Gain a Red Light or higher item back from the Discard pile after defeating a Minus Moth.,NowayArtemus,
9,Turncoat Behavior,Lv2,Engage a Turncoat when there are at least 5 rooms on the FOP.,NowayArtemus,
10,Kodak Moment,Lv2,"Defeat the Security Kiosk twice, using unique methods each time. ",NowayArtemus,
11,Ride 'em Cowboy!,Lv2,Tame the Scarlett Wyrm,NowayArtemus,
12,Friend Turned Foe,Lv2,"Engage Aiden twice, once as a friendly entity, and once as an unfriendly.",NowayArtemus,
13,Roadtrip Munchies,Lv2,Have 3 Skits in your Inventory when you exit.,NowayArtemus,
14,Can't Give it Up,Lv2,Return the Hex Pipe to your Inventory twice before exiting.,NowayArtemus,
15,Gives you Wings,Lv2,Defeat an entity using the Death Moth's Brew as the final attack.,NowayArtemus,
16,Battering Ram,Lv2,Deal at least 10 damage with Shopping Carts before exiting.,NowayArtemus,
17,Flair for Days,Lv2,Place out 4 cards using the Road Flares.,NowayArtemus,
18,That Little Bastard!,Lv2,Engage with a Red Light or higher entity when the Cursed Toy Car appears on the Field of Play.,NowayArtemus,
19,Like Clockwork,Lv2,Place 4 cards onto the bottom of your DiH using the Clockwork Torch.,NowayArtemus,
20,Dressed for Success,Lv2,Keep the Reflective Vest on for 3 rounds while engaged to an entity. ,NowayArtemus,
21,Save Yourself!,Lv2,Shuffle 2 Friendly Entities into your DiH using the Echoing Intercom. ,NowayArtemus,
22,Mental Burdens,Lv2,Lose at least 5 Sanity using Oliver's ability while he is your companion.,NowayArtemus,
23,Heed the Call!,Lv2,Shuffle 4 Unfriendly Entities into your DiH using the Echoing Intercom.,NowayArtemus,
24,Spin and Crash! ,Lv2,Defeat an enemy in the Cursed Toy Car using only Oil Slick Shrooms.,Groyer,
25,Need Some Gas?,Lv2,Defeat an enemy in the Cursed Toy Car using only Petrol Shrooms.,Groyer,
26,Wyrmymon Battler,Lv2,Tame a Wyrm and defeat another Wyrm with it using no other attack items.,Groyer,
27,Can I Keep It?,Lv2,Tame a Wyrm and have it in your Inventory when you enter the Golden Exit.,Groyer,
28,Back-To-Back,Lv2,"Defeat an Enforcer, then engage and defeat the entity it summoned by the end of the next Action Round. ",BiggestSmilerFan,
,,,,,
24,,,,,
,,Level Three (14),,,
1,Blurred Mind,Lv3,Use the Memory Fluid 3 times before exiting.,NowayArtemus,
2,Smudged Vision,Lv3,Use the Smudge Pot on 3 unique entities.,NowayArtemus,
3,Toxic Relationship,Lv3,"Lose 5 extra Sanity using the Petrol Shrooms from using them over 5 turns,",NowayArtemus,
4,One Begets the Other,Lv3,Use a tamed Wyrm as a weapon against an Ancient Wyrm. Gain 1 extra point if it's the final blow to defeat the Ancient Wyrm.,NowayArtemus,
5,Sight Seeing,Lv3,"Engage and defeat an entity in every Lot type (Abandoned, Desolate, Destroyed)",NowayArtemus,
6,Tamer of the Ancients ,Lv3,Tame an Ancient Wyrm,NowayArtemus,
7,Photo Finish,Lv3,"Defeat the Security Kiosk 3 times, once with the Key Card, once paying a Painite Gem, and once by engaging it.",NowayArtemus,
8,Ancient Eyes Upon You,Lv3,Enter at least 3 rooms while engaged with the Ancient Tollkeeper,NowayArtemus,
9,Shop Til They Drop,Lv3,Deal at least 8 damage in a single attack using the Shopping Cart,NowayArtemus,
10,Ticket Fiasco,Lv3,Have 2 Cursed Parking Tickets in your Inventory at the same time.,NowayArtemus,
11,Nerfed!,Lv3,Use the Oil Slick Shrooms on 3 entities with at least 3 Attack/DiH Damage,NowayArtemus,
12,Sour Luck,Lv3,Find no items when using the Abandoned Backpack.,NowayArtemus,
13,Abundance,Lv3,Find 2 items using the Abandoned Backpack before you escape.,NowayArtemus,
14,Outta the Way!,Lv3,Be engaged with a red light or higher entity when the Shadow Lurker is revealed and engages you on the Field of Play. ,NowayArtemus,
,,,,,
,,Level Four (2),,,
1,Master of Monsters,Lv4,Tame 2 unique Wyrms.,NowayArtemus,
2,Shop Till You Drop! ,Lv4,"(LV 1-4): Exit with at least 1 item in your Shopping Cart (min. 1). Gain up to 4 points, 1 point per item when you leave to a Max of 4.",Groyer,
3,A Knife in the Dark,Lv4,Engage & defeat a Turncoat when at least 6 of the cards on the FoP are Rooms for at least one turn.,Groyer,
4,Something Truly Evil ,Lv4,Engage & defeat a Hex Doll when your DiH is at least 19.,Groyer,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Back to the Lobby,Lv2,Use the Lift to exit the Car Park and enter the Lobby Levels.,NowayArtemus,Too many people don't have this card